TIME,RES
2021-11-17 07:19:49,6500
2021-11-17 07:20:19,6500
2021-11-17 07:20:49,6500
2021-11-17 07:21:19,6500
2021-11-17 07:21:49,6500
2021-11-17 07:22:19,6500
2021-11-17 07:22:50,6500
2021-11-17 07:23:20,6500
2021-11-17 07:23:50,6500
2021-11-17 07:24:20,6500
2021-11-17 07:24:50,6500
2021-11-17 07:25:20,6500
2021-11-17 07:25:51,6500
2021-11-17 07:26:21,6500
2021-11-17 07:26:51,6500
2021-11-17 07:27:21,6500
2021-11-17 07:27:51,6500
2021-11-17 07:28:21,6500
2021-11-17 07:28:51,6500
2021-11-17 07:29:22,6500
2021-11-17 07:29:52,6500
2021-11-17 07:30:22,6500
2021-11-17 07:30:52,6500
2021-11-17 07:31:22,6500
2021-11-17 07:31:52,6500
2021-11-17 07:32:23,6500
2021-11-17 07:32:53,6500
2021-11-17 07:33:23,6500
2021-11-17 07:33:53,6500
2021-11-17 07:34:23,6500
2021-11-17 07:34:53,6500
2021-11-17 07:35:24,6500
2021-11-17 07:35:54,6500
2021-11-17 07:36:24,6500
2021-11-17 07:36:54,6500
2021-11-17 07:37:24,6500
2021-11-17 07:37:54,6500
2021-11-17 07:38:24,6500
2021-11-17 07:38:55,6500
2021-11-17 07:39:25,6500
2021-11-17 07:39:55,6500
2021-11-17 07:40:25,6500
2021-11-17 07:40:55,6500
2021-11-17 07:41:25,6500
2021-11-17 07:41:56,6500
2021-11-17 07:42:26,6500
2021-11-17 07:42:56,6500
2021-11-17 07:43:26,6500
2021-11-17 07:43:56,6500
2021-11-17 07:44:26,6500
2021-11-17 07:44:56,6500
2021-11-17 07:45:27,6700
2021-11-17 07:45:57,6500
2021-11-17 07:46:27,6500
2021-11-17 07:46:57,6500
2021-11-17 07:47:27,6500
2021-11-17 07:47:57,6500
2021-11-17 07:48:28,6500
2021-11-17 07:48:58,6500
2021-11-17 07:49:28,6500
2021-11-17 07:49:58,6500
2021-11-17 07:50:28,6500
2021-11-17 07:50:58,6500
2021-11-17 07:51:29,6500
2021-11-17 07:51:59,6800
2021-11-17 07:52:29,6500
2021-11-17 07:52:59,6500
2021-11-17 07:53:29,6500
2021-11-17 07:53:59,6500
2021-11-17 07:54:29,6500
2021-11-17 07:55:00,6500
2021-11-17 07:55:30,6500
2021-11-17 07:56:00,6500
2021-11-17 07:56:30,6500
2021-11-17 07:57:00,6500
2021-11-17 07:57:30,6500
2021-11-17 07:58:01,6500
2021-11-17 07:58:31,6500
2021-11-17 07:59:01,6500
2021-11-17 07:59:31,6500
2021-11-17 08:00:01,6500
2021-11-17 08:00:31,6500
2021-11-17 08:01:02,6500
2021-11-17 08:01:32,6500
2021-11-17 08:02:02,6500
2021-11-17 08:02:32,6500
2021-11-17 08:03:02,6500
2021-11-17 08:03:32,6500
2021-11-17 08:04:02,6500
2021-11-17 08:04:33,6500
2021-11-17 08:05:03,6500
2021-11-17 08:05:33,6500
2021-11-17 08:06:03,6500
2021-11-17 08:06:33,6500
2021-11-17 08:07:03,6500
2021-11-17 08:07:34,6500
2021-11-17 08:08:04,6500
2021-11-17 08:08:34,6500
2021-11-17 08:09:04,6500
2021-11-17 08:09:34,6500
2021-11-17 08:10:04,6500
2021-11-17 08:10:34,6500
2021-11-17 08:11:05,6500
2021-11-17 08:11:35,6500
2021-11-17 08:12:05,6500
2021-11-17 08:12:35,6500
2021-11-17 08:13:05,6500
2021-11-17 08:13:35,6500
2021-11-17 08:14:06,6500
2021-11-17 08:14:36,6500
2021-11-17 08:15:06,6500
2021-11-17 08:15:36,6500
2021-11-17 08:16:06,6500
2021-11-17 08:16:36,6500
2021-11-17 08:17:07,6500
2021-11-17 08:17:37,6500
2021-11-17 08:18:07,6500
2021-11-17 08:18:37,6500
2021-11-17 08:19:07,6500
2021-11-17 08:19:37,6500
2021-11-17 08:20:07,6500
2021-11-17 08:20:38,6500
2021-11-17 08:21:08,6500
2021-11-17 08:21:38,6500
2021-11-17 08:22:08,6500
2021-11-17 08:22:38,6500
2021-11-17 08:23:08,6500
2021-11-17 08:23:39,6500
2021-11-17 08:24:09,6500
2021-11-17 08:24:39,6500
2021-11-17 08:25:09,6500
2021-11-17 08:25:39,6500
2021-11-17 08:26:09,6500
2021-11-17 08:26:40,6500
2021-11-17 08:27:10,6500
2021-11-17 08:27:40,6500
2021-11-17 08:28:10,6500
2021-11-17 08:28:40,6500
2021-11-17 08:29:10,6500
2021-11-17 08:29:40,6500
2021-11-17 08:30:11,6500
2021-11-17 08:30:41,6500
2021-11-17 08:31:11,6600
2021-11-17 08:31:41,6500
2021-11-17 08:32:11,6500
2021-11-17 08:32:41,6500
2021-11-17 08:33:12,6500
2021-11-17 08:33:42,6500
2021-11-17 08:34:12,6500
2021-11-17 08:34:42,6500
2021-11-17 08:35:12,6500
2021-11-17 08:35:42,6500
2021-11-17 08:36:12,6500
2021-11-17 08:36:43,6500
2021-11-17 08:37:13,6500
2021-11-17 08:37:43,6500
2021-11-17 08:38:13,6500
2021-11-17 08:38:43,6500
2021-11-17 08:39:13,6500
2021-11-17 08:39:44,6500
