Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;6;2;9;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;6;2;9;108;1654;34;2;0.981818;0.760563;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;6;5;5;152;20770;386;292;0.342342;0.282528;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.2;8;102;5202;6;5;5;36;4026;238;20;0.642857;0.131387;172;18464;851;138;0.554839;0.168133;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.4;16;280;10328;6;5;5;58;8327;150;105;0.355828;0.278846;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.6;24;415;15497;6;5;5;81;12483;240;156;0.341772;0.252336;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.8;32;605;20611;6;5;5;121;16611;305;243;0.332418;0.284038;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;1;40;735;25785;5;5;5;138;2270;52;0;1;0.726316;57;1477;25;6;0.904762;0.695122;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.2;8;102;5202;5;5;5;21;454;17;0;1;0.552632;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.4;16;280;10328;5;5;5;56;907;21;0;1;0.727273;63;1472;30;0;1;0.677419;0;0;0;0;0;0
